Timestamp,Сколько вам лет?,Ваш пол,Идентификатор когорты,"Вспомните предыдущие 2-4 недели, как преимущественно распределялись ваше время и силы между:

 - Срочными задачами (требуют немедленного решения, чтобы избежать негативных последствий)
 - Важными задачами (приближают вас к долгосрочным целям, но при отсрочке не наносят немедленный вред)","Каждый день появляются незапланированные срочные задачи, которые я не могу отложить","Я не могу отвести время на важное, потому что оно полностью занято срочным","Я в большей степени тушу кризисы, чем их предотвращаю","Мне трудно видеть прогресс в важных проектах, потому что до них редко доходит очередь",К концу дня у меня почти нет энергии на важное,"Я чувствую, что мои ресурсы (время и энергия) исчерпываются на срочное",Лежа в постели не пользоваться устройствами с экранами,Две минуты ничего не делать,Разгрузить свою память,Отделять задачи от проектов и идей,"Делать задачи ТОЛЬКО записанные в список (записываем, перед тем, как сделать)","Формулировать задачи ""как для обезьянки""","Поковырять задачи в ""Позже""",Отключать средства коммуникации на время сосредоточенной работы (блоки тишины),Провести утро без смартфона,Выполнить хотя бы одну задачу из списка до проверки почты / чатов / новостей,Я составляю план на день,Сходить на тренировку и позаниматься спортом,Я подвожу итоги дня,Во время работы прятать смартфон от самого себя (не держать его на виду),Я составляю план на неделю,Закрыть ненужные вкладки в браузере,Я смотрю / корректирую свой план на неделю,"Интернет-шаббат: провести день, не прикасаясь к устройствам, способным соединяться с интернетом",Я подвожу итоги недели,Порадовать свою обезьянку,Увидеть дно инбокса,Выполнить задачу из списка до контакта с внешним миром,Соотнести список своих задач со списком своих целей / хотелок,"Выполнить ""зеленую"" задачу","Выполнить ""зеленую"" задачу ДО проверки чатов / почты / новостей и прочего интернета",Пользоваться смартфоном в туалете,Провести N-минут в инкубаторе идей,Посмотреть в свой список задач просто с целью выкинуть оттуда что-то ненужное,Провести 15 минут наедине со своими мыслями,Вести лог дня (дневник),Провести день стесняясь смартфона,Установить фильтр синего (ночной режим или режим чтения) на экранах,Провести ревизию спального места на предмет светового шума,"Установить автоматический (по расписанию) режим ""не беспокоить"" на смартфоне (минимум на 8 часов в день)",Удалить приложения социальных сетей со своего смартфона,Отключить красные кружочки на иконках приложений в смартфоне,Установить плагины и настройки против рекламных баннеров,Отключить оповещения о новых сообщениях в чатах,Отключить оповещения о новых сообщениях в электронной почте,"Отключить push-оповещения от приложений в смартфоне (соцсети, магазины, заправки)",Отключить оповещения на смарт-часах,Настроить автоматическое отмечание входящих писем в электронной почте прочитанными,Как вы работаете с личными и рабочими задачами?,Какие инструменты вы используете для управления списком задач,К какому хронотипу вы себя относите?,На сколько удачливым человеком вы себя считаете?,"Как вы думаете, что сейчас является ограничением вашей продуктивности?",MIJS-2,"В среднем, сколько дней в неделю вы работаете в офисе, а сколько удаленно?"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/02/2026 18:00:56,45,М,TST,Мне с ощутимым избытком хватает сил и времени на всё: и на важное и на срочное,1,1,1,1,2,1,Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Постоянно (каждую неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Постоянно (каждую неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Применил(а) по максимуму,Применил(а) по максимуму,Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Высокоактивный тип (Голубь): активен целый день,6,,4,
17/02/2026 18:19:42,31,М,DEMO_GRP,"Большую часть я посвящаю важному, на срочные задачи сил и времени уходит не много",2,1,1,2,1,1,Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Постоянно (почти каждый день),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Постоянно (каждую неделю),Практически всегда (5+ дней в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Постоянно (каждую неделю),Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Не применил(а),Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Применил(а) по максимуму,Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Высокоактивный тип (Голубь): активен целый день,5,"Да хз, если честно. Мне хорошо)",6,
17/02/2026 18:20:11,37,Ж,DEMO_GRP,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",5,3,2,4,5,3,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Часто (3-4 раза в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Постоянно (каждую неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,"Применил(а), но не полностью",Не применил(а),"Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Применил(а) с небольшими исключениями,"Применил(а), но не полностью","Применил(а), но не полностью","Применил(а), но не полностью",Применил(а) с небольшими исключениями,Не применил(а),Я разделяю личные и рабочие задачи в разных списках,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,4,"Слишком многое интересно, слишком много идей",14,
17/02/2026 18:20:46,43,М,DEMO_GRP,Я распределяю свои силы и время примерно поровну на важное и на срочное,2,3,2,2,2,2,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (раз в 1-2 месяца),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Не применил(а),Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,Применил(а) по максимуму,У меня этого нет,Не применил(а),Я разделяю личные и рабочие задачи в разных списках,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,4,"отсутствие плана, целей.",10,
17/02/2026 18:23:16,45,М,DEMO_GRP,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",4,4,5,5,5,5,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Постоянно (почти каждый день),Иногда (1-2 раза в неделю),Часто (3-4 раза в неделю),Редко (раз в 1-2 месяца),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Применил(а) по максимуму,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,"Применил(а), но не полностью",Не применил(а),Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),"Сонливый днем тип (Цапля): пик активности утром и вечером, а днем спад",5,Я сам,19,
17/02/2026 18:24:57,25,Ж,DEMO_GRP,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",4,4,5,5,5,5,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Не применил(а),Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Не применил(а),Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,У меня этого нет,У меня этого нет,Я нигде не веду личные задачи (что надо - помню),Электронные + Блокнот,"Дневной тип (Орел): пик активности - день, утром и вечером - спад",3,"Считаю, что ограничением является моя попытка сделать все идеально. Много думаю как сделать, но к делу могу не подступать неделями (а то и месяцами), пока дедлайн не прижмет сделать за один день (если дедлайн внешний! (Не мой личный) есть - то задача будет сделана хотя бы, если дедлайна нет - то задача скорее всего не будет сделана совсем). Пока другие люди берут и делают (хоть и на отшибись) - я все думаю: «как бы красиво записать это в блокнотик или лучше в приложение? кхм, надо сравнить где лучше писать, а еще лучше почитать статьи на тему «лучшие приложения 20xx года»
И так примерно каждый раз. Даже составить список нужных вещей в поездку начинается с мыслей, а как это сделать лучше и хорошо.
Очень тяжело с этим жить. Не могу разгрузить нормально голову, потому что не знаю «куда это лучше сделать».",19,
17/02/2026 18:30:10,31,М,DEMO_GRP,"Практически всё уходит на срочные задачи, важному уделяю внимание мало и редко",4,3,4,4,5,4,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Применил(а) по максимуму,"Применил(а), но не полностью",Применил(а) с небольшими исключениями,"Применил(а), но не полностью",Не применил(а),"Применил(а), но не полностью",Не применил(а),"Применил(а), но не полностью",Применил(а) с небольшими исключениями,Применил(а) по максимуму,Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),"Дневной тип (Орел): пик активности - день, утром и вечером - спад",5,"Сейчас прохожу курс джедайского старта, поэтому что-то уже применил, но результат пока не ощутим. Мне не хватает дисциплины и уверенности(как будто чисто психологический внутренний стопор) ",16,
17/02/2026 18:30:30,26,М,DEMO_GRP,"Большую часть трачу на срочные дела, но небольшую часть стабильно посвящаю важным",1,1,3,4,5,2,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Иногда (1-2 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Иногда (1-2 раза в неделю),Редко (несколько раз в месяц),Никогда или крайне редко,Редко (несколько раз в месяц),Редко (несколько раз в месяц),Никогда или крайне редко,Применил(а) по максимуму,Применил(а) по максимуму,Применил(а) с небольшими исключениями,Не применил(а),Применил(а) по максимуму,Применил(а) с небольшими исключениями,Применил(а) с небольшими исключениями,Применил(а) по максимуму,"Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Я разделяю личные и рабочие задачи в разных списках,Электронные (приложение),Умеренно-активный тип (Утка): весь день умеренно активный,4,,11,
17/02/2026 18:33:59,38,Ж,DEMO_GRP,Я распределяю свои силы и время примерно поровну на важное и на срочное,1,1,2,2,1,5,Практически всегда (5+ дней в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Практически всегда (5+ дней в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Часто (3-4 раза в неделю),Никогда или крайне редко,Иногда (1-2 раза в неделю),Никогда или крайне редко,Часто (3-4 раза в неделю),Иногда (1-2 раза в неделю),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Никогда или крайне редко,Практически всегда (5+ дней в неделю),Редко (несколько раз в месяц),Часто (3-4 раза в неделю),Никогда или крайне редко,Редко (несколько раз в месяц),Никогда или крайне редко,Не применил(а),"Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Не применил(а),"Применил(а), но не полностью","Применил(а), но не полностью",Не применил(а),Применил(а) по максимуму,"Применил(а), но не полностью",Не применил(а),Я веду личные и рабочие задачи в одном списке,Электронные (приложение),Утренний тип (Жаворонок): пик активности утром и снижается к вечеру,6,,11,
