timestamp,session_id,tg_id,week,group_id,cubes_reactive,cubes_proactive,cubes_operational,cubes_pool,satisfaction,representative,work_life,pss_1,pss_2,pss_3,pss_4,takeaway,comment,time_total,device_type,Фактор дистресса,Фактор совладания,Воспринимаемый стресс
2026-07-05 09:02:01,5501a13245b9a5b2133ed7b01a73fd31,artsm92,0,🔥%20Огоньки%20(ДС%202026q3),4,2,0,0,4,-1,1,3,3,1,3,"- одна задача в один момент времени, отключать уведомления в чатах где постоянно тегают
- формулировка целей важна и размышления на тему где я сейчас",,196,mobile,6,4,10
2026-07-05 10:00:31,b6d79df46cbaae1c89fa5ccc891b2b75,unfreeshooter,0,🔥 Огоньки (ДС 2026q3),3,1,2,0,6,-2,0,1,3,2,1,"если делать и потом аналитить - почти все срабатывает на мне из практик.
а если аналитить, а потом делать - делать будет нечего: все воспринимается лишь В ТЕОРИИ","не очень показателен п2 ""Насколько прошедшая неделя была похожа на ваш обычный режим работы?*"" для меня: я из Севастополя, у нас внезапные отключения ЭЭ, что сильно влияет на формат работы.
ну и пункты дальше тоже в разрезе проблем локальных с бензом и эл-вом/водой (пока только с ними)- все по фактам",736,desktop,2,5,5
2026-07-05 10:06:38,1dd388c2279277f99a769060a5ed92df,chernykh_irina,0,💥%20Искорки%20(ДС%202026q3),0,2,4,0,6,1,1,0,4,4,1,"Немножко почитала задачки и цели ребят на доске практики и поняла, что у меня в принципе нет опасений в жизни. Мои задачки все или рутинные или те, которые ведут меня к целям. По отдыху тоже интуитивно распределяю всякие классные активности, единственное в течение дня работаю и совсем не отдыхаю. Уже нашла пилатес-стулию рядом с работой, вот вернусь с командировки мечты и начну ходить по средам в обед на пилатес. И хочу потихоньку внедрять помидорки с отдыхом между ними и ретроспективу с командой по рабочим задачкам .","Есть ощущение некоторой сумбурности в части просматриваемых видео. Понятно, что у вас уже накоплен багаж и одно и то же переснимать не сильно эффективно. Но например, ответы на вопросы с какой-то практики: Максим говорит про улитки так, что я уже должна быть сильно в теме, а мы ж ещё нигде не обсуждали их ☹️ На самой практике я не поняла почему до докопались с моей задачей «запросить документы для учебы», которую я привязала к цели «я настроила бизнес-процессы». Это же первый шажок к тому, чтобы научиться настраивать грамотно бизнес-процессы. Есть тут некоторое недопонимание, что за цель тогда должна быть, какой масштаб? Понимаю, что сложно выслушать все тройки, но ребята же могут просто не так понять и уйти в демагогию при обсуждении чьей-то цели. Кажется, что стоит делать акцент на длине чтобычтотора и вообще на то, что надо именно через «чтобы что» связывать задачу с целью. И рандомно выбирать хотя бы три таких связки для разбора под присмотром Максима не по комнатам, а при всё честнОм народе 🤗",1074,mobile,1,8,1
2026-07-05 10:08:12,4a30073f1ead1ba55d61a0be343d0577,Garikos8,0,🔥 Огоньки (ДС 2026q3),3,2,1,0,6,1,1,1,3,3,1,"Мало составить план, надо уметь и двигаться по нему.",,194,mobile,2,6,4
2026-07-05 10:23:05,a28815f6be6b96080aaa10769c623798,i1024i,0,🌟%20Звёздочки%20(ДС%202026q3),2,3,1,0,5,1,2,2,3,2,2,"Нужно планировать отдых, заранее определиться, как я буду отдыхать и использовать свободное время",,116,mobile,4,5,7
2026-07-05 10:26:52,4a5c4304337932162d21dade1831f645,tnikotyan,0,💥 Искорки (ДС 2026q3),4,1,1,0,4,-1,1,3,2,2,3,,,118,mobile,6,4,10
2026-07-05 10:27:31,3de1e7bf0e4c2263132190427bb172e7,nvkoy,0,🌟 Звёздочки (ДС 2026q3),1,4,1,0,5,1,1,1,3,3,1,"""Чтобы что"" сильно помогает избавиться от лишнего и расставить реальные приоритеты",Вы лучшие! Спасибо! :),185,desktop,2,6,4
2026-07-05 11:03:10,4ba89f712442ebd55f3f6b203be24be0,dimisi,0,💥 Искорки (ДС 2026q3),1,1,2,2,7,2,-2,3,3,3,4,Отдыхать - крута!,,133,desktop,7,6,9
2026-07-05 11:25:55,98c4160f00a06c6698f9b03478083c04,oakimov,0,🌟 Звёздочки (ДС 2026q3),2,0,4,0,3,1,1,2,3,3,1,Отдых - неотъемлемая часть грамотного труда,,127,mobile,3,6,5
2026-07-05 11:33:42,4bf2f7e9a7089a54f51634223dde8ef9,DarkJewel,0,🌟 Звёздочки (ДС 2026q3),1,1,2,2,6,1,-2,4,1,2,4,Читать художественные книги - мой вариант отдыха.,"Тяжёлая неделя, сделал очень мало. Ресурс в основном потрачен на поддержание жизни в тушке и на дохрена тревожных мыслей. НО! меня на этой неделе нашла работа, в понедельник выхожу на первую смену.",273,mobile,8,3,13
2026-07-05 12:58:09,a013009f551579acc6d31ae0fd2ffb29,fyodor5,0,💥 Искорки (ДС 2026q3),1,0,1,4,2,-1,0,2,3,2,0,"Мне необходимо внедрять рутины для фокуса на важных задачах для их выполнения, иначе я просто не сажусь их выполнять и разбираться.",,150,desktop,2,5,5
2026-07-05 13:09:05,950e34770b251536f8703a5140c506a3,n_Set,0,💥 Искорки (ДС 2026q3),0,0,0,6,4,1,1,4,3,4,3,"что давно забыл что мне именно интересно , так как часто перегружал себя работой, и когда приходит пора др я оч долго думаю чего бы я хотел, чаще говорю у меня все есть давайте деньгами",,118,desktop,7,7,8
2026-07-05 13:18:14,7bbad278ff70c5aa5f60086de71d2323,anna_metel87,0,🔥 Огоньки (ДС 2026q3),1,2,3,0,6,3,0,2,3,3,0,"Из практики ""чтобычтотор"" - пожалуй, сам факт сформулированных целей.
Из книги ""Путь джедая"" - что работать над зеленой задачей надо 1м делом за день и в любом состоянии и обстоятельствах, если хочешь прогресс.","Вопрос: если задача понятна ""обезьяне"", но я все равно не хочу ее делать и поэтому откладываю - как мне решить эту проблему?
По-хорошему, да, надо делегировать, это просто ""не моя"" задача, она не приближает меня ни к чему. Но я не могу ее спихнуть, это часть моих рабочих обязанностей, она недостаточна для найма целого человека (опять же NDA, чувствительные данные) и ее невозможно автоматизировать (там все что можно автоматизировано, мне финально просмотреть и каждый раз через боль🤪😁).",1611,mobile,2,6,4
2026-07-05 14:41:58,de27f4ae585a5b80d653f2d00f5d3feb,victor_goriunov,0,🌟 Звёздочки (ДС 2026q3),2,3,1,0,6,2,2,1,3,3,2,"Via negativa. Не столько добавлять упражнения для отдыха, сколько НЕ делать лишнего. 
Есть предощущение, что текущий курс может сработать.",,345,desktop,3,6,5
2026-07-05 14:54:52,85727bd551d9a4576689d6beae69dee6,PalaVistas,0,💥%20Искорки%20(ДС%202026q3),2,1,1,2,2,-1,0,3,2,1,3,,,180,mobile,6,3,11
2026-07-05 15:07:45,9ec07e9263d0206f098f5f4af3bf16f0,PolyakovaAR,0,🌟 Звёздочки (ДС 2026q3),0,0,0,6,4,0,0,1,3,2,2,мне очень тяжело заставлять себя читать правила всех этих опросников тетрадей и прочего я не вижу в них ценности,,125,desktop,3,5,6
2026-07-05 15:10:30,c493b0688a2309f5eb2a18ee2a9b24be,kiralary,0,☀️%20Лучики%20(ДС%202026q3),2,1,2,1,6,2,1,1,3,3,1,Можно отдыхать каждый день! Даже пять минут отдыха уже что-то значат.,Спасибо за рекомендацию Анны Обуховой. Теперь слушаю её в свободное время,9401,mobile,2,6,4
2026-07-05 15:17:33,ac10cbb802efa6b77ccf890acaa30db2,basilmiron,0,☀️ Лучики (ДС 2026q3),2,3,1,0,5,1,-2,3,2,0,1,Хочешь чему-то научиться -- попробуй научить этому других.,Хотелось бы большей вовлечённости участников -- пока что чат нашей группы в телеге потихоньку зарастает тиной и покрывается ряской 🥲,192,desktop,4,2,10
2026-07-05 15:24:06,4b2d6b105edba5b16e2937cd6c02300a,LESNYAKSERGEY,0,☀️ Лучики (ДС 2026q3),3,0,1,2,2,0,2,2,2,1,3,,,164,desktop,5,3,10
2026-07-05 16:10:08,845c8863cec29d0b32eae38855a8d42c,Olegkim0,0,☀️ Лучики (ДС 2026q3),3,3,0,0,5,2,3,3,2,3,1,,,81,mobile,4,5,7
2026-07-05 16:35:19,4cb2ef87d139c0e0271a8281c30790cd,shaklein_e,0,🔥%20Огоньки%20(ДС%202026q3),1,3,2,0,5,1,0,1,4,3,0,Что живу содержательную и интересную жизнь,,150,mobile,1,7,2
2026-07-05 16:54:22,9ef2e0fec483bfa493bd00e2ce84f744,petrovgenq,0,чат,3,0,3,0,1,-3,3,3,3,2,2,Отдых это важно,"Спасибо за то, что вы делаете",302,desktop,5,5,8
2026-07-05 17:09:59,d81a06a6395aec67d6cf869068999809,elpaev,0,☀️ Лучики (ДС 2026q3),2,1,3,0,5,0,-2,2,2,3,1,,,145,mobile,3,5,6
2026-07-05 20:57:32,3b2198a73517fc391fa71e547fb26be1,dhbdt,0,🌟 Звёздочки (ДС 2026q3),3,1,1,1,5,-1,1,1,3,3,1,"Даже если прямо сейчас я не могу воспользоваться всеми накопленными знаниями/навыками, это не делает их бесполезными
И это повод сфокусироваться не на приобретении новых, а на распаковывании этого багажа силы",,527,mobile,2,6,4
2026-07-05 21:41:22,3635adc097205b514c8c7bd033e85d97,grigory_sam,0,☀️ Лучики (ДС 2026q3),2,2,1,1,6,-2,2,2,2,2,2,"Короткая версия - 

Парадоксально, что на неделе посвященной Отдыху я херачил как не в себя. Но постоянно держал в голове мысль о важности отдыха. Да и почувствовать эту важность получилось, когда энергию приходилось выскребать с самого дна.
Для отдыха как будто бы не оставалось времени (там очень страшная красная задача, точнее проект). 

Так вот, удалось столкнуть жесткое пренебреждение отдыхом и осознание абсолютной необходимости в нём.

И я нашел один из потерянных ключей к своей продуктивности - чрезвычайно важны понятные и конкретные мои собственные цели.

Я теряю время в течение рабочего дня, потому что не могу сконцентрироваться и сделать даже что-то обезьянопонятное. 

Но как только у меня в трекере появилась связь задач с целями - это был настоящий буст. 

Инсайт сугубо личный.
Есть немало людей, которые хорошо формулируют и представляют свои цели.

Иметь кристально ясную, мою собственную, личную цель (которая ничем не оправдана, типа работы) - очень помогает быть эффективнее, даже когда энергии почти нет.","Искренняя благодарность.
Отдельно приятно, что у курса так хорошо развилась коммьюнити-составляющая, это здорово.",1370,desktop,4,4,8
2026-07-05 22:57:28,e30b3be204d2fa9d7cc26eec59e7108d,Katrinacarrotss,0,💥 Искорки (ДС 2026q3),2,1,3,0,5,-1,1,4,2,1,4,"Мне нужно включить в свою жизнь отдых. ежедневный, еженедельный, ежемесячный, ежегодный. Я на правильном пути","Здорово, что есть такой проект и он помогает людям улучшать жизнь",210,desktop,8,3,13
2026-07-06 08:03:30,172a6a56331da047b00273e32207d689,sp190819,0,чат,2,1,1,2,5,1,0,3,3,1,3,"1. То, что в списке моих текущих задач практически нет задач, которые напрямую бы вели меня к моим целям, 
2. То, что отдых можно и нужно планировать и организовывать как сам отдых, так и время для него...","Вижу большую ценность в практике, вовлечен скорее на минималках, то есть делаю необходимое почти в срок, меня это устраивает...",331,desktop,6,4,10
2026-07-06 08:31:09,eb27c285c0911029f321c56039b04f93,mitgych,0,💥 Искорки (ДС 2026q3),2,2,2,0,4,0,2,3,2,1,3,джедайский старт - мой шанс выбраться из рутины.,,48724,desktop,6,3,11
2026-07-06 09:20:07,5dde0de6f7bf2f7bd95fdcf716c9debe,tigrenok_katiel,0,☀️ Лучики (ДС 2026q3),2,1,2,1,6,3,1,2,3,3,2,,,88,desktop,4,6,6
2026-07-06 10:45:03,96ec63d4dab19babc9358e877514b445,chillimpostor,0,☀️ Лучики (ДС 2026q3),2,1,2,1,5,0,2,3,2,2,3,"Главные идеи/выводы по теме недели.
- Важно благополучие, работа и дела не цель, а средство.
- Самоорганизация и планирование, системы и техники, нужны чтобы жить лучше, а не делать больше. 
- Отдых и досуг не награда, а забота о себе. Без них нет сил и желания, только истощение, выгорание и саботаж.",,219,mobile,6,4,10
2026-07-06 11:49:39,995b4fba758836832c8b3c807d0dd941,dmtszv,0,☀️ Лучики (ДС 2026q3),1,1,2,2,5,0,0,1,3,3,1,Мне необходимо чётко разделять отдых и работу и не жертвовать первым в пользу второго.,Вы мне нравитесь ;),360,mobile,2,6,4
2026-07-06 16:27:27,76818b0bb39c8fde93db3fe7c435c371,baikova_f,0,чат,1,1,1,3,5,1,-3,3,3,1,2,Я не умею отдыхать. Срочно учиться отдыхать! Искать радости для ежедневного и еженедельного отдыха.,🫶,596,desktop,5,4,9
2026-07-06 21:55:34,07aa1418f1cf5886048222d19aed58a8,Ninanikolavna,0,🌟 Звёздочки (ДС 2026q3),2,2,2,0,6,2,1,3,1,1,2,"Что отдых в шкале важности должен быть наравне с работой. А не на последнем месте, как у меня.","Спасибо, мне у вас нравится:)",438,mobile,5,2,11
2026-07-06 23:08:02,39de27188ff28233cab652101f1324b2,oNZ7xpXJfrkasyb2enBr,0,🌟 Звёздочки (ДС 2026q3),0,0,2,4,4,1,-3,0,3,3,1,"Укрепился в мысли, что без качественного целеполагания эффективно тратить мыслетопливо не получится. А для целей нужно сформулировать идентичность. В свою очередь для определения идентичности, чтобы хватило сил, сначала нужно научиться отдыхать (на этой формулировке обезьяну хватил Кондратий).",,656,desktop,1,6,3
2026-07-07 07:39:15,b5d32088b1e337361fdc777e91d56681,smart_roger,0,🔥 Огоньки (ДС 2026q3),2,1,3,0,4,1,-1,2,3,2,3,,,46,mobile,5,5,8
2026-07-07 07:59:46,93d360291e11d9552e18d5338e87b754,zhilabylamasha,0,💥%20Искорки%20(ДС%202026q3),1,2,1,2,5,1,1,1,3,4,1,"Если есть время, нужно в него «попадать», иначе потом вернуться к задаче будет сложно.",,98,mobile,2,7,3
2026-07-07 11:02:25,1abd48cde723ee4585125f117925cfa7,TaM_tAm_666,0,☀️ Лучики (ДС 2026q3),0,1,4,1,5,1,-3,1,3,2,1,Нужно регулярно ходить в отпуска. Кайфовый отпуск - залог хорошего настроения.,,410,desktop,2,5,5
2026-07-07 11:34:32,e09a43a51e3b97f4d10cd33ed5c51f75,OlegLyukshin,0,☀️%20Лучики%20(ДС%202026q3),3,1,2,0,3,0,-1,2,1,2,2,,,70,mobile,4,3,9
2026-07-07 12:21:59,456b8de36dc43a6c82a07736d53d3379,komalexei,0,💥 Искорки (ДС 2026q3),3,1,2,0,5,1,0,3,3,2,2,Важно находить время для отдыха который тебя порадует или просто отключиться от информационного шума и прогуляться 10-15 минут наедине с самим собой.,,474,mobile,5,5,8
2026-07-07 13:15:11,ca4e5e94257151975f77944f3c317d54,vkomiko,0,💥%20Искорки%20(ДС%202026q3),2,2,2,0,4,1,1,3,3,1,4,"Нам нужен не отдых, а пополнение батарейки. Батарейка может быть пополнена различными активностями, которые тебя драйвят",,166,mobile,7,4,11
2026-07-07 22:26:15,f12da707928e9219547f12ad4873ba06,M_Gaidamaka,0,🔥%20Огоньки%20(ДС%202026q3),1,3,2,0,6,1,-1,2,4,3,1,,,129,desktop,3,7,4
2026-07-08 04:11:37,2a55a70f24ab521478717d06e85910a0,kotofos,0,☀️ Лучики (ДС 2026q3),1,1,3,1,3,-1,-2,2,3,2,3,Надо отдых системный наладить,,257,desktop,5,5,8
2026-07-08 11:17:22,b1c114aeeb7698f2cedb9d1f3d0e6426,semarglll,0,чат,5,1,0,0,5,-1,2,3,1,1,3,,,72406,desktop,6,2,12
